,vacancy,salary,min_salary,max_salary,cur_salary,link,site
147,Data scientist / Специалист машинного обучения,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/34964095?query=Data%20scientist,HH
148,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36935891?query=Data%20scientist,HH
149,Lead Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36922892?query=Data%20scientist,HH
150,ML Engineer (Middle +),до 250 000 руб.,н/у,до 250 000 руб.,н/у,https://spb.hh.ru/vacancy/36970508?query=Data%20scientist,HH
151,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36545229?query=Data%20scientist,HH
152,Data scientist/Researcher в проект Relap,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36650884?query=Data%20scientist,HH
153,Data Scientist sas Sber (Дивизион `Массовая персонализация`),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36932939?query=Data%20scientist,HH
154,Руководитель команды Data Science (Predictive Analytic Solutions),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36957660?query=Data%20scientist,HH
155,Head of ML,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36350194?query=Data%20scientist,HH
156,Системный аналитик (ETL/DWH),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36935337?query=Data%20scientist,HH
157,Business Analyst,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36915503?query=Data%20scientist,HH
158,Data Scientist / Data Analyst,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36887434?query=Data%20scientist,HH
159,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36875596?query=Data%20scientist,HH
160,Senior Data Scientist (NLP),от 5 000 EUR,от 5 000 EUR,н/у,от 5 000 EUR,https://spb.hh.ru/vacancy/36891810?query=Data%20scientist,HH
161,Data Science Manager (Senior data scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36860838?query=Data%20scientist,HH
162,"Проверяющий преподаватель по курсу ""Data Scientist""",,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36881106?query=Data%20scientist,HH
163,Senior Data Scientist in Data & Analytics Lab,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36860537?query=Data%20scientist,HH
164,Главный специалист в Отдел риск-моделирования (Скоринг/ Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36854306?query=Data%20scientist,HH
165,Технический директор / системный архитектор,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36880360?query=Data%20scientist,HH
